position,salary_range,company,category1,category2,location,remote,must have,nice to have,seniority
Major Incident Manager (with French),23 100  – 27 300  PLN,Wipro Digital,Product Management,None,Cracow,0.0,"Backlog management, Defining business requirements, French, English, French",Polish,Mid
Delivery Lead (Scrum Master),25 200  – 30 450  PLN,Wipro Digital,Product Management,None,Gdansk,False,"Jira, Confluence, Kanban, scrum, Agile, SDLC, English","CI/CD, Polish",Senior
Product Owner (Digital Transformation),25 200  – 29 400  PLN,Wipro Digital,Product Management,None,Gdansk,False,"Jira, Confluence, Kanban, English",Polish,Mid
"Full Stack Engineer (.NET, React, Azure)",25 200  – 37 800  PLN,Wipro Digital,Fullstack,.NET,Remote,False,".NET, React, Microservices, Automation, Git, JUnit, English","Docker, Kubernetes, Jenkins, Azure, GCP, AWS, Polish",Senior
Agile Project Manager,12 000  – 18 000  PLN,Tooploox,Project Manager,None,Remote,False,"Jira, Asana, English, Polish","Degree, AI",Senior
REMOTE Mid&Senior SAP Basis Admin,20 160  – 28 560  PLN,Link Group,ERP,None,Remote,False,"SAP, Linux, Windows, Oracle, English","HANA, ABAP, Java",Senior
Junior Analytics Developer,5 000  – 8 500  PLN,Axis Group,Business Analysis,None,Remote,False,"Good knowledge of Microsoft Excel, Bachelor&#39;s degree in Computer Science or economics, Analytical thinking, Communication skills, Excel, Degree, English (B2)","BI tools, Tableau, Power BI, Qlik, SQL / NoSQL, Knowledge of date warehouse, Knowledge of ETL process, SQL, NoSQL, ETL",Junior
Middle React Developer,14 660  – 21 111  PLN,N-iX,Frontend,React,Remote,False,"React, JavaScript, Redux, HTML, CSS, English (B2)",TypeScript,Mid
Senior Database Reliability Engineer/DBA,24 434  – 31 415  PLN,Drata,DevOps,SQL,Remote,False,"MySQL, SQL, AWS, AWS RDS, Databases, English",DynamoDB,Senior
Transformation Leader (with German),35 700  – 40 950  PLN,Wipro Digital,Project Manager,None,Warszawa,False,"Project management, large scale projects, Team management, Business Process Model and Notation, Process modelling, Jira, Agile, English, German",Polish,"Senior, Expert"
Scala (Spark) Backend Developer,21 000  – 26 250  PLN,Wipro Digital,Backend,Spark,Krakow,False,"Spark, Microservices, Jenkins, GitHub, Jira, Confluence, Scrum, English","GCP, Apache Airflow, JUnit, TDD, BDD, Azure, AWS, Polish",Mid
Export Director FMCG,12 000  – 18 000  PLN,Smart-HR,Sales,None,Żory,False,English (B2),None,Senior
Agile Business Analyst (SEPA),25 200  – 29 400  PLN,Wipro Digital,Business Analysis,None,Krakow,False,"Agile, Confluence, Jira, English","SEPA, EPC, SQL, Polish","Mid, Senior"
QA Manual - Mid,13 440  – 18 480  PLN,Link Group,Testing,None,Gdynia,False,"Swagger, Postman, Azure DevOps, Git, Visual Studio, English (B2)",None,Mid
Quality Specialist,14 000  – 20 000  PLN,Hitachi Energy,Telecommunication,None,Kraków,False,"STEM, TCP/IP, TCP, Networking, English","TCP/IP protocols, Lean, Six Sigma","Mid, Senior"
Sales Specialist,10 000  PLN,SCALEUP,Sales,None,Szczecin,False,"MS Office, Portuguese (NATIVE), English",Polish,Junior
Senior UI Designer,14 000  – 19 000  PLN,Tooploox,Design,None,Remote,False,"UI Design, UX Design, User research, Client workshops, Communication skills, Team player, Polish, English",None,Senior
Remote Trainee Angular Developer,Unpaid internship,CheapTrip,Frontend,Angular,Remote,False,"Angular, English","Python, Android, iOS",Trainee
Remote Trainee Python Developer,Unpaid internship,CheapTrip,Backend,None,Remote,False,"Python, English","Angular, Android, iOS",Trainee
Business SQL Developer,25 000  – 32 000  PLN,Harvey Nash Technology,Data,SQL,Warszawa,False,"SQL, SQL Server, English (C1)","Python, Alteryx, Data warehouse, Data Lake, Databricks","Mid, Senior"
Cloud Data Architect (GCP/Azure),24 000  – 32 000  PLN,Elitmind,Data,None,Remote,False,"google cloud platform, ETL, SQL, Azure Cloud, Data Governance, ETL/ELT, Data Architecture, Data Platforms, Stakeholder Management, Cloud Migration Strategies, Tech Leadership, English (B2)",None,"Senior, Expert"
"DevOps Engineer (Terraform, GCP, Python)",23 100  – 29 400  PLN,Wipro Digital,DevOps,Python,Cracow,False,"Terraform, Python, GCP, Microservices, Kubernetes, Docker, Ansible, English","CI/CD, Bash, Go, CI/CD Pipelines, Spring, Terragrunt, Polish",Mid
Data Engineer,21 000  – 27 300  PLN,ASTEK Polska,Data,Python,Remote,False,"Python, AWS, SQL, Polish, English (B2)",None,Senior
Mid/Senior MLOps Engineer,16 800  – 33 600  PLN,GetInData | Part of Xebia,AI,GCP,Remote,False,"GCP, Java, Python, Kubernetes, Machine learning, MLflow, MLOps, Prototyping, CI, Polish, English","Airflow, Docker, Terraform, Jenkins","Mid, Senior"
Product Marketing Manager,13 500  – 14 500  PLN,Appfire,Marketing,None,Remote,False,"Degree, Use cases, Segmentation, Atlassian, Trello, Jira, Bitbucket, Confluence, English (B2)",None,Senior
Product Control Analyst,13 400  – 20 000  PLN,Harvey Nash Technology,Finance,None,Warszawa,False,English (B2),None,Mid
Treasury Analyst,9 000  – 10 000  PLN,Harvey Nash Technology,Finance,None,Warszawa,False,"Swift, MS Excel, Outlook, PowerPoint, risk management, English (B2)",None,Mid
Mobile Engineer,18 000  – 20 000  PLN,Harvey Nash Technology,Telecommunication,None,Warszawa,False,"RAN, GSM, UMTS, LTE, 5G, RRC, PDCP, RLC, MAC, PHY, Wireshark, 3GPP, English (C1)","C, C++, Java, Jira","Mid, Senior"
Senior Machine Learning NLP LLM Engineer,25 000  – 32 000  PLN,Kinetix Trading Solutions,AI,Python,Remote,False,"Python, Machine learning, scikit-learn, NLP, Natural language processing, Deep learning, Machine Learning, English","Git, Cloud, TensorFlow, Docker, PyTorch, Elasticsearch, MongoDB, Keras, NoSQL","Senior, Expert"
ServiceNow Specialist,12 000  – 17 000  PLN,Harvey Nash Technology,Sys. Administrator,None,Remote,False,English (B2),"Polish (B2), German (B2)",Mid
RF Engineer,18 000  – 20 000  PLN,Harvey Nash Technology,Telecommunication,None,Warszawa,False,"C, C++, Anritsu, Keysight, R&S, 3GPP, RF, Radio Frequency, English (C1)",5G,"Mid, Senior"
Remote Junior Manual Tester,6 000  – 8 000  PLN,360 Code Lab Sp. z o.o.,Testing,Java,Remote,False,"API, Testing, Test case, Java, Polish (NATIVE), English (B2)","JavaScript, TypeScript, SQL, REST",Junior
Senior Backend Developer (Node.js),20 000  – 25 000  PLN,kiwiHR,Backend,Node.js,Remote,False,"Node.js, Express, REST, PostgreSQL, Polish (C1), English (B2)","AWS, Docker, TypeScript",Senior
Doradca Klienta Serwisowego,3 800  – 4 800  PLN,iSpot Poland Sp. z o.o.,Customer Service,None,Katowice,False,English (B1),None,Mid
Doradca Klienta Serwisowego,3 800  – 4 800  PLN,iSpot Poland Sp. z o.o.,Customer Service,None,Warsaw,False,English (B1),None,Mid
Remote Mid/Senior QA Engineer,12 000  – 16 000  PLN,360 Code Lab Sp. z o.o.,Testing,None,Remote,False,"API, Postman, Testing, Test case, Test strategy, Jira, English (B2), Polish (NATIVE)","JavaScript, TypeScript, SQL, REST, Selenium, JSON, Cypress, Test automation, GitHub, Git, Docker",Mid
Customer Success Manager (Junior / Mid),8 000  – 10 000  PLN,Infermedica Sp z.o.o,Customer Service,None,Remote,False,"B2B, IT, AI, Healthcare, English (C1), Polish","SaaS, HubSpot, Google suite, Totango, CRM, German",Mid
Information Classification Process Mngr.,18 000  – 27 000  PLN,Bayer Sp. z o.o.,Security,None,Warsaw,False,"risk management, process management, Information Management, Security, ISO 27001, English",None,Mid
Inżynier Elektryk/Elektroautomatyk,5 300  – 8 300  PLN,ENAMOR SP. Z O.O.,Electrical Engineering,None,Gdynia,False,"MS Office, Prawo Jazdy Kat. B, English (B1)",None,Mid
Inżynier Elektronik,5 300  – 8 300  PLN,ENAMOR SP. Z O.O.,Electronics,None,Gdynia,False,"MS Office, Prawo Jazdy Kat. B, English (B1)",GOC,Mid
Senior Data Architect,18 000  – 27 000  PLN,Bayer Sp. z o.o.,Data,Azure,Warsaw,False,"Degree, Data modeling, Big data, Microservices, Data governance, Data management, Snowflake, Kafka, Collibra, English (C1)",None,"Mid, Senior"
Inżynier SCADA,9 000  – 12 000  PLN,Orienta Polska,Electronics,C++,Łódź,False,"SCADA, iFix, WinCC, C, C++, C#, MATLAB, MySQL, SQL, English (B2)",None,Mid
