position,salary_range,company,category1,category2,location,remote,must have,nice to have,seniority
"DevOps Engineer (Terraform, GCP, Python)",23 100  – 29 400  PLN,Wipro Digital,DevOps,Python,Cracow,,"Terraform, Python, GCP, Microservices, Kubernetes, Docker, Ansible, English","CI/CD, Bash, Go, CI/CD Pipelines, Spring, Terragrunt, Polish",Mid
Senior .Net Fullstack Developer,12 500  – 15 833  PLN,Chatham Financial,Fullstack,.NET,Krakow,,".NET, JavaScript, Angular, React, C#, C++, Java, Oracle, MySQL, REST API, Degree, API, English (C1)","SQL Server, TypeScript",Senior
ServiceNow Specialist,12 000  – 17 000  PLN,Harvey Nash Technology,Sys. Administrator,,Remote,,English (B2),"Polish (B2), German (B2)",Mid
Postgres Database/ETL Engineer,10 000  – 17 000  PLN,Motorola Solutions Systems Polska,Data,SQL,Remote,,"SQL, PostgreSQL, ETL, Informatica, Oracle, Pentaho, CAN, English","JSON, SOA, Microservices, REST API, SOAP, PL/SQL, Bash, Unix, Linux, Python",Mid
Project Manager,21 840  – 24 360  PLN,AVENGA,Project Manager,,Warsaw,,"MS Office, Excel, agile, English (B2)",None,"Mid, Senior"
Remote Lead Backend Python Developer,20 772  PLN,IT Recruiting Agency,Backend,Python,Remote,,"Python, English (B2)",None,Expert
Remote Senior Backend Python Developer,18 695  – 20 772  PLN,IT Recruiting Agency,Backend,Python,Remote,,"Python, English (B2)",None,Senior
Automatyk / Programista PLC,7 500  – 15 000  PLN,RunBit,Automation,,Wrocław,,"PLC, Beckhoff, Siemens, Allen Bradley, Czytanie Schematów Elektrycznych, English, German","Automotive, Programowanie Robotów Przemysłowych, Prawo jazdy kat. B",Mid
Associate Technical Support Engineer,8 000  – 12 000  PLN,Dun & Bradstreet,IT Support,,Warszawa,,"FTP, SFTP, Managed File Transfer, English, Tech Support, English (C1), Polish (NATIVE)",Axway Secure Transport,Mid
Mid Sys. Administrator,8 000  – 12 000  PLN,Link Group,Sys. Administrator,,Warszawa,,"Windows, Linux, Zabbix, Proxmox, Bash, PowerShell, SQL, English (B2)","IBM, IBM iSeries, Business Central, Power BI, PowerApps",Mid
Senior SAP S/4HANA Consultant,18 000  – 24 000  PLN,Mindbox S.A.,Data,,Warszawa,,"SAP, SD, S4 HANA, ABAP, English (C1), Polish",ERP,Senior
SAP Consultant Product Life Cycle,26 800  – 33 600  PLN,Engenious,ERP,,Remote,,"SAP, PP, QM, PLM, Polish, English","ABAP, German",Mid
Inżynier Utrzymania Sieci,16 800  – 20 160  PLN,Avenga,Sys. Administrator,,Warsaw,,"LAN, WAN, WLAN, VPN, Cisco, CCNA, CCNP, English (B2)",None,Mid
Samodzielna/y Księgowa/y,7 000  – 9 500  PLN,Ekkom Sp. z o.o.,Finance,,Wrocław,,Polish,English,Mid
Portfolio Support Analyst  (PMO Admin),21 000  – 25 200  PLN,Wipro Digital,IT Support,,Krakow,,"Agile, Confluence, Jira, SharePoint, English",Polish,Mid
Senior Marketing Manager,10 386  – 14 540  PLN,Railsware,Marketing,,Remote,,"Google Analytics, English (C1)",Figma,Senior
Fullstack Developer,20 772  – 29 081  PLN,AllSTARSIT,Fullstack,Golang,Remote,,"Golang, NoSQL, Docker, K8s, AWS, Vue.js, React, JavaScript, CSS, English",Go,Senior
Remote Senior Project Manager - AI,17 000  – 22 000  PLN,Thoriana Sp. z o.o.,AI,,Remote,,"AI, PMP, PM, Prince2, English (B2)",None,Senior
Junior Project Manager - Telco,8 000  – 12 000  PLN,Thoriana Sp. z o.o.,Telecommunication,,Warsaw,,English (B2),None,Junior
Junior Business Analyst - Finance,8 000  – 12 000  PLN,Thoriana Sp. z o.o.,Finance,,Warsaw,,"Visio, English (B2)","MS Project, UML, BPMN, CRM, ERP, Prince2, MS Office",Junior
Machine Learning Engineer,20 000  – 27 000  PLN,hubQuest,AI,Python,Remote,,"Python, Databricks, PySpark, Spark, SQL, Machine Learning, English (C1), Polish (C1)",Azure,Mid
Marketing Manager/ka -Project Manager/ka,7 000  – 9 000  PLN,Be About | Hybrid Agency,Marketing,,Warszawa,,"Polish (NATIVE), English (C2)",None,"Mid, Senior"
