positon,salary_range,company,category1,category2,must_have,nice_to_have,location,seniority
Project Manager,21 840 – 24 360 PLN,AVENGA,Project Manager,,MS Office,,Warsaw,"Mid, Senior"
Remote Lead Backend Python Developer,20 772 PLN,IT Recruiting Agency,Backend,Python,Python,,Remote,Expert
Remote Senior Backend Python Developer,18 695 – 20 772 PLN,IT Recruiting Agency,Backend,Python,Python,,Remote,Senior
Automatyk / Programista PLC,7 500 – 15 000 PLN,RunBit,Automation,,PLC,Automotive,Wrocław,Mid
Associate Technical Support Engineer,8 000 – 12 000 PLN,Dun & Bradstreet,IT Support,,FTP,Axway Secure Transport,Warszawa,Mid
Mid Sys. Administrator,8 000 – 12 000 PLN,Link Group,Sys. Administrator,,Windows,IBM,Warszawa,Mid
Senior SAP S/4HANA Consultant,18 000 – 24 000 PLN,Mindbox S.A.,Data,,SAP,ERP,Warszawa,Senior
SAP Consultant Product Life Cycle,26 800 – 33 600 PLN,Engenious,ERP,,SAP,ABAP,Remote,Mid
Inżynier Utrzymania Sieci,16 800 – 20 160 PLN,Avenga,Sys. Administrator,,LAN,,Warsaw,Mid
Samodzielna/y Księgowa/y,7 000 – 9 500 PLN,Ekkom Sp. z o.o.,Finance,,Polski,Angielski,Wrocław,Mid
Portfolio Support Analyst (PMO Admin),21 000 – 25 200 PLN,Wipro Digital,IT Support,,Agile,Polski,Krakow,Mid
Senior Marketing Manager,10 386 – 14 540 PLN,Railsware,Marketing,,Google Analytics,Figma,Remote,Senior
Fullstack Developer,20 772 – 29 081 PLN,AllSTARSIT,Fullstack,Golang,Golang,Go,Remote,Senior
,,,,,,,,
Junior Project Manager - Telco,8 000 – 12 000 PLN,Thoriana Sp. z o.o.,Telecommunication,,Angielski (B2),,Warsaw,Junior
Junior Business Analyst - Finance,8 000 – 12 000 PLN,Thoriana Sp. z o.o.,Finance,,Visio,MS Project,Warsaw,Junior
Machine Learning Engineer,20 000 – 27 000 PLN,hubQuest,AI,Python,Python,Azure,Remote,Mid
Marketing Manager/ka -Project Manager/ka,7 000 – 9 000 PLN,Be About | Hybrid Agency,Marketing,,Polski (NATIVE),,Warszawa,"Mid, Senior"
Senior Presales Engineer,17 000 – 22 000 PLN,10Clouds,Sales,,Angielski (C1),Blockchain,Remote,Senior
Financial Analyst,7 000 – 10 000 PLN,HRO Digital,Finance,,Audit,,Kraków,Mid
Remote Principle Program Manager,36 960 – 42 000 PLN,Coforge,Project Manager,,Program Management,,Remote,Expert
